Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Slovenia,Guinea,,Total population of concern,0,0
Slovenia,Guinea-Bissau,,Asylum-seekers,0,0
Slovenia,Guinea-Bissau,,Total population of concern,0,0
Slovenia,India,,Total Refugee and people in refugee-like situations,0,0
Slovenia,India,,Asylum-seekers,0,0
Slovenia,India,,Total population of concern,0,0
Slovenia,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,60,0
Slovenia,Iran (Islamic Rep. of),,Asylum-seekers,16,0
Slovenia,Iran (Islamic Rep. of),,Total population of concern,76,0
Slovenia,Iraq,,Total Refugee and people in refugee-like situations,36,0
Slovenia,Iraq,,Asylum-seekers,5,0
Slovenia,Iraq,,Total population of concern,41,0
Slovenia,Kazakhstan,,Total Refugee and people in refugee-like situations,19,0
Slovenia,Kazakhstan,,Total population of concern,19,0
Slovenia,Liberia,,Asylum-seekers,0,0
Slovenia,Liberia,,Total population of concern,0,0
Slovenia,Libya,,Asylum-seekers,0,0
Slovenia,Libya,,Total population of concern,0,0
Slovenia,Morocco,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Morocco,,Asylum-seekers,9,0
Slovenia,Morocco,,Total population of concern,10,0
Slovenia,Nigeria,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Nigeria,,Asylum-seekers,9,0
Slovenia,Nigeria,,Total population of concern,11,0
Slovenia,Pakistan,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Pakistan,,Asylum-seekers,10,0
Slovenia,Pakistan,,Total population of concern,11,0
Slovenia,Palestinian,,Total Refugee and people in refugee-like situations,10,0
Slovenia,Palestinian,,Asylum-seekers,0,0
Slovenia,Palestinian,,Total population of concern,14,0
Slovenia,Russian Federation,,Total Refugee and people in refugee-like situations,14,0
Slovenia,Russian Federation,,Asylum-seekers,0,0
Slovenia,Russian Federation,,Total population of concern,16,0
Slovenia,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,65,0
Slovenia,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,30,0
Slovenia,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,95,0
Slovenia,Sierra Leone,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Sierra Leone,,Total population of concern,0,0
Slovenia,Somalia,,Total Refugee and people in refugee-like situations,48,0
Slovenia,Somalia,,Asylum-seekers,0,0
Slovenia,Somalia,,Total population of concern,50,0
Slovenia,Stateless,,Persons under UNHCR's statelessness mandate,0,0
Slovenia,Stateless,,Total population of concern,0,0
Slovenia,Sudan,,Total Refugee and people in refugee-like situations,6,0
Slovenia,Sudan,,Total population of concern,6,0
Slovenia,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,179,0
Slovenia,Syrian Arab Rep.,,Asylum-seekers,32,0
Slovenia,Syrian Arab Rep.,,Total population of concern,211,0
Slovenia,Tunisia,,Asylum-seekers,0,0
Slovenia,Tunisia,,Total population of concern,0,0
Slovenia,Turkey,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Turkey,,Asylum-seekers,27,0
Slovenia,Turkey,,Total population of concern,28,0
Slovenia,Ukraine,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Ukraine,,Asylum-seekers,0,0
Slovenia,Ukraine,,Total population of concern,5,0
Slovenia,Uzbekistan,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Uzbekistan,,Total population of concern,0,0
Slovenia,Various,,Asylum-seekers,0,0
Slovenia,Various,,Total population of concern,0,0
Slovenia,Yemen,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Yemen,,Total population of concern,0,0
Slovenia,Zimbabwe,,Total Refugee and people in refugee-like situations,0,0
Slovenia,Zimbabwe,,Total population of concern,0,0
Somalia,Bangladesh,,Total Refugee and people in refugee-like situations,6,6
Somalia,Bangladesh,,Total population of concern,6,6
Somalia,"Congo, Republic of",,Asylum-seekers,0,0
Somalia,"Congo, Republic of",,Total population of concern,0,0
Somalia,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,0,0
Somalia,Dem. Rep. of the Congo,,Asylum-seekers,0,0
Somalia,Dem. Rep. of the Congo,,Total population of concern,0,0
Somalia,Djibouti,,Total Refugee and people in refugee-like situations,0,0
Somalia,Djibouti,,Asylum-seekers,10,10
Somalia,Djibouti,,Total population of concern,11,11
Somalia,Egypt,,Asylum-seekers,10,10
Somalia,Egypt,,Total population of concern,10,10
Somalia,Eritrea,,Total Refugee and people in refugee-like situations,45,45
Somalia,Eritrea,,Asylum-seekers,34,34
Somalia,Eritrea,,Total population of concern,79,79
Somalia,Ethiopia,,Total Refugee and people in refugee-like situations,3251,3251
Somalia,Ethiopia,,Asylum-seekers,13264,13264
Somalia,Ethiopia,,Others of concern to UNHCR,10,10
Somalia,Ethiopia,,Total population of concern,16525,16525
Somalia,Iraq,,Total Refugee and people in refugee-like situations,0,0
Somalia,Iraq,,Total population of concern,0,0
Somalia,Jordan,,Asylum-seekers,0,0
Somalia,Jordan,,Total population of concern,0,0
Somalia,Kenya,,Asylum-seekers,0,0
Somalia,Kenya,,Total population of concern,0,0
Somalia,Mozambique,,Asylum-seekers,0,0
Somalia,Mozambique,,Total population of concern,0,0
Somalia,Nigeria,,Asylum-seekers,0,0
Somalia,Nigeria,,Total population of concern,0,0
Somalia,Palestinian,,Total Refugee and people in refugee-like situations,15,15
Somalia,Palestinian,,Total population of concern,15,15
Somalia,Somalia,Djibouti,Returned refugees,265,265
Somalia,Somalia,Kenya,Returned refugees,28795,28791
Somalia,Somalia,Malaysia,Returned refugees,13,13
Somalia,Somalia,Russian Federation,Returned refugees,0,0
Somalia,Somalia,Thailand,Returned refugees,5,5
Somalia,Somalia,Tunisia,Returned refugees,0,0
Somalia,Somalia,Yemen,Returned refugees,2348,2348
Somalia,Somalia,Indonesia,Returned refugees,0,0
Somalia,Somalia,,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",1562554,409996
Somalia,Somalia,,Others of concern to UNHCR,103,103
Somalia,Somalia,,Total population of concern,1594088,441526
Somalia,Sudan,,Total Refugee and people in refugee-like situations,0,0
Somalia,Sudan,,Asylum-seekers,10,10
Somalia,Sudan,,Total population of concern,13,13
Somalia,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,165,165
Somalia,Syrian Arab Rep.,,Asylum-seekers,0,0
Somalia,Syrian Arab Rep.,,Total population of concern,169,169
Somalia,Turkey,,Total Refugee and people in refugee-like situations,0,0
Somalia,Turkey,,Total population of concern,0,0
Somalia,Uganda,,Total Refugee and people in refugee-like situations,0,0
Somalia,Uganda,,Asylum-seekers,0,0
Somalia,Uganda,,Total population of concern,0,0
Somalia,United Rep. of Tanzania,,Asylum-seekers,71,71
Somalia,United Rep. of Tanzania,,Total population of concern,71,71
Somalia,United States of America,,Total Refugee and people in refugee-like situations,0,0
Somalia,United States of America,,Asylum-seekers,0,0
Somalia,United States of America,,Total population of concern,0,0
Somalia,Yemen,,Total Refugee and people in refugee-like situations,9432,9432
Somalia,Yemen,,Asylum-seekers,137,137
Somalia,Yemen,,Others of concern to UNHCR,7,7
Somalia,Yemen,,Total population of concern,9576,9576
South Africa,Afghanistan,,Total Refugee and people in refugee-like situations,6,0
South Africa,Afghanistan,,Total population of concern,6,0
South Africa,Algeria,,Total Refugee and people in refugee-like situations,5,0
South Africa,Algeria,,Asylum-seekers,36,0
South Africa,Algeria,,Total population of concern,41,0
South Africa,Andorra,,Total Refugee and people in refugee-like situations,0,0
South Africa,Andorra,,Total population of concern,0,0
South Africa,Angola,,Asylum-seekers,172,0
South Africa,Angola,,Total population of concern,172,0
South Africa,Anguilla,,Total Refugee and people in refugee-like situations,0,0
South Africa,Anguilla,,Total population of concern,0,0
South Africa,Bahamas,,Total Refugee and people in refugee-like situations,0,0
South Africa,Bahamas,,Asylum-seekers,0,0
South Africa,Bahamas,,Total population of concern,0,0
South Africa,Bangladesh,,Total Refugee and people in refugee-like situations,328,0
South Africa,Bangladesh,,Asylum-seekers,993,0
South Africa,Bangladesh,,Total population of concern,1321,0
South Africa,Benin,,Total Refugee and people in refugee-like situations,0,0
South Africa,Benin,,Asylum-seekers,8,0
South Africa,Benin,,Total population of concern,10,0
South Africa,Bolivia (Plurinational State of),,Asylum-seekers,0,0
South Africa,Bolivia (Plurinational State of),,Total population of concern,0,0
South Africa,Botswana,,Asylum-seekers,22,0
South Africa,Botswana,,Total population of concern,22,0
South Africa,Bulgaria,,Total Refugee and people in refugee-like situations,0,0
South Africa,Bulgaria,,Total population of concern,0,0
South Africa,Burundi,,Total Refugee and people in refugee-like situations,2997,0
South Africa,Burundi,,Asylum-seekers,439,0
South Africa,Burundi,,Total population of concern,3436,0
South Africa,Cameroon,,Total Refugee and people in refugee-like situations,396,0
South Africa,Cameroon,,Asylum-seekers,465,0
South Africa,Cameroon,,Total population of concern,861,0
South Africa,Central African Rep.,,Total Refugee and people in refugee-like situations,5,0
South Africa,Central African Rep.,,Asylum-seekers,7,0
South Africa,Central African Rep.,,Total population of concern,12,0
South Africa,Chad,,Total Refugee and people in refugee-like situations,0,0
South Africa,Chad,,Total population of concern,0,0
South Africa,China,,Total Refugee and people in refugee-like situations,0,0
South Africa,China,,Asylum-seekers,1366,0
South Africa,China,,Total population of concern,1370,0
South Africa,"China, Macao SAR",,Total Refugee and people in refugee-like situations,0,0
South Africa,"China, Macao SAR",,Asylum-seekers,0,0
South Africa,"China, Macao SAR",,Total population of concern,0,0
South Africa,Colombia,,Total Refugee and people in refugee-like situations,0,0
South Africa,Colombia,,Asylum-seekers,0,0
South Africa,Colombia,,Total population of concern,0,0
South Africa,Comoros,,Total Refugee and people in refugee-like situations,0,0
South Africa,Comoros,,Asylum-seekers,20,0
South Africa,Comoros,,Total population of concern,23,0
South Africa,"Congo, Republic of",,Total Refugee and people in refugee-like situations,5431,0
South Africa,"Congo, Republic of",,Asylum-seekers,367,0
South Africa,"Congo, Republic of",,Total population of concern,5798,0
South Africa,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,43,0
South Africa,Côte d'Ivoire,,Asylum-seekers,24,0
South Africa,Côte d'Ivoire,,Total population of concern,67,0
South Africa,Cuba,,Asylum-seekers,0,0
South Africa,Cuba,,Total population of concern,0,0
South Africa,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,26737,0
South Africa,Dem. Rep. of the Congo,,Asylum-seekers,5717,0
South Africa,Dem. Rep. of the Congo,,Total population of concern,32454,0
South Africa,Djibouti,,Total Refugee and people in refugee-like situations,0,0
South Africa,Djibouti,,Total population of concern,0,0
South Africa,Egypt,,Total Refugee and people in refugee-like situations,0,0
South Africa,Egypt,,Asylum-seekers,475,0
South Africa,Egypt,,Total population of concern,479,0
South Africa,El Salvador,,Asylum-seekers,0,0
South Africa,El Salvador,,Total population of concern,0,0
South Africa,Eritrea,,Total Refugee and people in refugee-like situations,2039,0
South Africa,Eritrea,,Asylum-seekers,26,0
South Africa,Eritrea,,Total population of concern,2065,0
South Africa,Estonia,,Total Refugee and people in refugee-like situations,7,0
South Africa,Estonia,,Asylum-seekers,5,0
South Africa,Estonia,,Total population of concern,12,0
South Africa,Ethiopia,,Total Refugee and people in refugee-like situations,17984,0
South Africa,Ethiopia,,Asylum-seekers,3243,0
South Africa,Ethiopia,,Total population of concern,21227,0
South Africa,France,,Total Refugee and people in refugee-like situations,0,0
South Africa,France,,Total population of concern,0,0
South Africa,Gabon,,Total Refugee and people in refugee-like situations,0,0
South Africa,Gabon,,Asylum-seekers,5,0
South Africa,Gabon,,Total population of concern,6,0
South Africa,Gambia,,Asylum-seekers,0,0
South Africa,Gambia,,Total population of concern,0,0
South Africa,Germany,,Asylum-seekers,0,0
South Africa,Germany,,Total population of concern,0,0
South Africa,Ghana,,Total Refugee and people in refugee-like situations,6,0
South Africa,Ghana,,Asylum-seekers,1361,0
South Africa,Ghana,,Total population of concern,1367,0
South Africa,Guinea,,Total Refugee and people in refugee-like situations,0,0
South Africa,Guinea,,Asylum-seekers,6,0
South Africa,Guinea,,Total population of concern,7,0
South Africa,Guinea-Bissau,,Total Refugee and people in refugee-like situations,0,0
South Africa,Guinea-Bissau,,Asylum-seekers,0,0
South Africa,Guinea-Bissau,,Total population of concern,0,0
South Africa,Hungary,,Asylum-seekers,20,0
South Africa,Hungary,,Total population of concern,20,0
South Africa,Iceland,,Asylum-seekers,0,0
South Africa,Iceland,,Total population of concern,0,0
South Africa,India,,Total Refugee and people in refugee-like situations,7,0
South Africa,India,,Asylum-seekers,1503,0
South Africa,India,,Total population of concern,1510,0
South Africa,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,0,0
South Africa,Iran (Islamic Rep. of),,Asylum-seekers,0,0
South Africa,Iran (Islamic Rep. of),,Total population of concern,0,0
South Africa,Iraq,,Total Refugee and people in refugee-like situations,17,0
South Africa,Iraq,,Asylum-seekers,10,0
South Africa,Iraq,,Total population of concern,27,0
South Africa,Ireland,,Total Refugee and people in refugee-like situations,0,0
South Africa,Ireland,,Asylum-seekers,0,0
South Africa,Ireland,,Total population of concern,0,0
South Africa,Israel,,Asylum-seekers,0,0
South Africa,Israel,,Total population of concern,0,0
South Africa,Italy,,Total Refugee and people in refugee-like situations,0,0
South Africa,Italy,,Total population of concern,0,0
South Africa,Jamaica,,Asylum-seekers,0,0
South Africa,Jamaica,,Total population of concern,0,0
South Africa,Japan,,Total Refugee and people in refugee-like situations,0,0
South Africa,Japan,,Total population of concern,0,0
South Africa,Jordan,,Total Refugee and people in refugee-like situations,0,0
South Africa,Jordan,,Asylum-seekers,9,0
South Africa,Jordan,,Total population of concern,10,0
South Africa,Kenya,,Total Refugee and people in refugee-like situations,153,0
South Africa,Kenya,,Asylum-seekers,71,0
South Africa,Kenya,,Total population of concern,224,0
South Africa,Kyrgyzstan,,Total Refugee and people in refugee-like situations,0,0
South Africa,Kyrgyzstan,,Total population of concern,0,0
South Africa,Lebanon,,Total Refugee and people in refugee-like situations,0,0
South Africa,Lebanon,,Asylum-seekers,0,0
South Africa,Lebanon,,Total population of concern,0,0
South Africa,Lesotho,,Total Refugee and people in refugee-like situations,0,0
South Africa,Lesotho,,Asylum-seekers,687,0
South Africa,Lesotho,,Total population of concern,689,0
South Africa,Liberia,,Total Refugee and people in refugee-like situations,58,0
South Africa,Liberia,,Asylum-seekers,13,0
South Africa,Liberia,,Total population of concern,71,0
South Africa,Libya,,Total Refugee and people in refugee-like situations,0,0
South Africa,Libya,,Asylum-seekers,11,0
South Africa,Libya,,Total population of concern,12,0
South Africa,Madagascar,,Asylum-seekers,0,0
South Africa,Madagascar,,Total population of concern,0,0
South Africa,Malawi,,Total Refugee and people in refugee-like situations,13,0
South Africa,Malawi,,Asylum-seekers,3373,0
South Africa,Malawi,,Total population of concern,3386,0
South Africa,Mali,,Total Refugee and people in refugee-like situations,0,0
South Africa,Mali,,Asylum-seekers,72,0
South Africa,Mali,,Total population of concern,76,0
South Africa,Mauritania,,Asylum-seekers,0,0
South Africa,Mauritania,,Total population of concern,0,0
South Africa,Morocco,,Total Refugee and people in refugee-like situations,0,0
South Africa,Morocco,,Asylum-seekers,7,0
South Africa,Morocco,,Total population of concern,11,0
South Africa,Mozambique,,Total Refugee and people in refugee-like situations,0,0
South Africa,Mozambique,,Asylum-seekers,1454,0
South Africa,Mozambique,,Total population of concern,1456,0
South Africa,Myanmar,,Total Refugee and people in refugee-like situations,0,0
South Africa,Myanmar,,Asylum-seekers,0,0
South Africa,Myanmar,,Total population of concern,0,0
South Africa,Namibia,,Total Refugee and people in refugee-like situations,0,0
South Africa,Namibia,,Asylum-seekers,0,0
South Africa,Namibia,,Total population of concern,0,0
South Africa,Nepal,,Asylum-seekers,37,0
South Africa,Nepal,,Total population of concern,37,0
South Africa,Niger,,Total Refugee and people in refugee-like situations,0,0
South Africa,Niger,,Total population of concern,0,0
South Africa,Nigeria,,Total Refugee and people in refugee-like situations,6,0
South Africa,Nigeria,,Asylum-seekers,3338,0
South Africa,Nigeria,,Total population of concern,3344,0
South Africa,Norfolk Island,,Total Refugee and people in refugee-like situations,0,0
South Africa,Norfolk Island,,Total population of concern,0,0
South Africa,Oman,,Total Refugee and people in refugee-like situations,0,0
South Africa,Oman,,Total population of concern,0,0
South Africa,Pakistan,,Total Refugee and people in refugee-like situations,17,0
South Africa,Pakistan,,Asylum-seekers,2504,0
South Africa,Pakistan,,Total population of concern,2521,0
South Africa,Palau,,Asylum-seekers,0,0
South Africa,Palau,,Total population of concern,0,0
South Africa,Palestinian,,Total Refugee and people in refugee-like situations,38,0
South Africa,Palestinian,,Asylum-seekers,13,0
South Africa,Palestinian,,Total population of concern,51,0
South Africa,Philippines,,Asylum-seekers,6,0
South Africa,Philippines,,Total population of concern,6,0
South Africa,Poland,,Total Refugee and people in refugee-like situations,0,0
South Africa,Poland,,Total population of concern,0,0
South Africa,Russian Federation,,Total Refugee and people in refugee-like situations,11,0
South Africa,Russian Federation,,Asylum-seekers,0,0
South Africa,Russian Federation,,Total population of concern,12,0
South Africa,Rwanda,,Total Refugee and people in refugee-like situations,1383,0
South Africa,Rwanda,,Asylum-seekers,55,0
South Africa,Rwanda,,Total population of concern,1438,0
South Africa,Saint Kitts and Nevis,,Total Refugee and people in refugee-like situations,0,0
South Africa,Saint Kitts and Nevis,,Asylum-seekers,0,0
South Africa,Saint Kitts and Nevis,,Total population of concern,0,0
South Africa,Samoa,,Asylum-seekers,0,0
South Africa,Samoa,,Total population of concern,0,0
South Africa,Sao Tome and Principe,,Asylum-seekers,0,0
South Africa,Sao Tome and Principe,,Total population of concern,0,0
South Africa,Senegal,,Total Refugee and people in refugee-like situations,0,0
South Africa,Senegal,,Asylum-seekers,114,0
South Africa,Senegal,,Total population of concern,117,0
South Africa,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,0,0
South Africa,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,5,0
South Africa,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,6,0
South Africa,Seychelles,,Total Refugee and people in refugee-like situations,0,0
South Africa,Seychelles,,Total population of concern,0,0
South Africa,Sierra Leone,,Total Refugee and people in refugee-like situations,20,0
South Africa,Sierra Leone,,Asylum-seekers,0,0
South Africa,Sierra Leone,,Total population of concern,20,0
South Africa,Solomon Islands,,Total Refugee and people in refugee-like situations,8,0
South Africa,Solomon Islands,,Asylum-seekers,5,0
South Africa,Solomon Islands,,Total population of concern,13,0
South Africa,Somalia,,Total Refugee and people in refugee-like situations,28977,0
South Africa,Somalia,,Asylum-seekers,2495,0
South Africa,Somalia,,Total population of concern,31472,0
South Africa,Sri Lanka,,Total Refugee and people in refugee-like situations,17,0
South Africa,Sri Lanka,,Asylum-seekers,18,0
South Africa,Sri Lanka,,Total population of concern,35,0
South Africa,Sudan,,Total Refugee and people in refugee-like situations,115,0
South Africa,Sudan,,Asylum-seekers,30,0
South Africa,Sudan,,Total population of concern,145,0
South Africa,Swaziland,,Total Refugee and people in refugee-like situations,8,0
South Africa,Swaziland,,Asylum-seekers,107,0
South Africa,Swaziland,,Total population of concern,115,0
South Africa,Sweden,,Total Refugee and people in refugee-like situations,0,0
South Africa,Sweden,,Total population of concern,0,0
South Africa,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,46,0
South Africa,Syrian Arab Rep.,,Asylum-seekers,48,0
South Africa,Syrian Arab Rep.,,Total population of concern,94,0
South Africa,Thailand,,Asylum-seekers,20,0
South Africa,Thailand,,Total population of concern,20,0
South Africa,Timor-Leste,,Total Refugee and people in refugee-like situations,0,0
South Africa,Timor-Leste,,Total population of concern,0,0
South Africa,Togo,,Total Refugee and people in refugee-like situations,12,0
South Africa,Togo,,Asylum-seekers,20,0
South Africa,Togo,,Total population of concern,32,0
South Africa,Tunisia,,Asylum-seekers,0,0
South Africa,Tunisia,,Total population of concern,0,0
South Africa,Turkey,,Total Refugee and people in refugee-like situations,7,0
South Africa,Turkey,,Asylum-seekers,0,0
South Africa,Turkey,,Total population of concern,9,0
South Africa,Tuvalu,,Asylum-seekers,0,0
South Africa,Tuvalu,,Total population of concern,0,0
South Africa,Uganda,,Total Refugee and people in refugee-like situations,552,0
South Africa,Uganda,,Asylum-seekers,817,0
South Africa,Uganda,,Total population of concern,1369,0
South Africa,Ukraine,,Total Refugee and people in refugee-like situations,6,0
South Africa,Ukraine,,Asylum-seekers,8,0
South Africa,Ukraine,,Total population of concern,14,0
South Africa,United Kingdom,,Total Refugee and people in refugee-like situations,0,0
South Africa,United Kingdom,,Total population of concern,0,0
South Africa,United Rep. of Tanzania,,Total Refugee and people in refugee-like situations,36,0
South Africa,United Rep. of Tanzania,,Asylum-seekers,461,0
South Africa,United Rep. of Tanzania,,Total population of concern,497,0
South Africa,Uzbekistan,,Asylum-seekers,0,0
South Africa,Uzbekistan,,Total population of concern,0,0
South Africa,Various,,Total Refugee and people in refugee-like situations,50,0
South Africa,Various,,Asylum-seekers,142368,0
South Africa,Various,,Total population of concern,142418,0
South Africa,Venezuela (Bolivarian Republic of),,Asylum-seekers,0,0
South Africa,Venezuela (Bolivarian Republic of),,Total population of concern,0,0
South Africa,Viet Nam,,Asylum-seekers,0,0
South Africa,Viet Nam,,Total population of concern,0,0
South Africa,Wallis and Futuna Islands ,,Asylum-seekers,0,0
South Africa,Wallis and Futuna Islands ,,Total population of concern,0,0
South Africa,Yemen,,Total Refugee and people in refugee-like situations,0,0
South Africa,Yemen,,Asylum-seekers,7,0
South Africa,Yemen,,Total population of concern,9,0
South Africa,Zambia,,Total Refugee and people in refugee-like situations,67,0
South Africa,Zambia,,Asylum-seekers,180,0
South Africa,Zambia,,Total population of concern,247,0
South Africa,Zimbabwe,,Total Refugee and people in refugee-like situations,4603,0
South Africa,Zimbabwe,,Asylum-seekers,41174,0
South Africa,Zimbabwe,,Total population of concern,45777,0
South Sudan,Burundi,,Total Refugee and people in refugee-like situations,0,0
South Sudan,Burundi,,Asylum-seekers,495,495
South Sudan,Burundi,,Total population of concern,498,498
South Sudan,Central African Rep.,,Total Refugee and people in refugee-like situations,1857,1857
South Sudan,Central African Rep.,,Total population of concern,1857,1857
South Sudan,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,14794,14794
South Sudan,Dem. Rep. of the Congo,,Asylum-seekers,0,0
South Sudan,Dem. Rep. of the Congo,,Total population of concern,14795,14795
South Sudan,Egypt,,Total Refugee and people in refugee-like situations,0,0
South Sudan,Egypt,,Total population of concern,0,0
South Sudan,Eritrea,,Total Refugee and people in refugee-like situations,23,23
South Sudan,Eritrea,,Asylum-seekers,1385,1385
South Sudan,Eritrea,,Total population of concern,1408,1408
South Sudan,Ethiopia,,Total Refugee and people in refugee-like situations,4732,4732
South Sudan,Ethiopia,,Asylum-seekers,337,337
South Sudan,Ethiopia,,Total population of concern,5069,5069
South Sudan,Kenya,,Asylum-seekers,0,0
South Sudan,Kenya,,Total population of concern,0,0
South Sudan,Somalia,,Total Refugee and people in refugee-like situations,0,0
South Sudan,Somalia,,Asylum-seekers,162,162
South Sudan,Somalia,,Total population of concern,166,166
South Sudan,South Sudan,,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",1944735,535000
South Sudan,South Sudan,,Total population of concern,1944735,535000
South Sudan,Sudan,,Total Refugee and people in refugee-like situations,253501,253501
South Sudan,Sudan,,Asylum-seekers,15,15
South Sudan,Sudan,,Total population of concern,253516,253516
South Sudan,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,0,0
South Sudan,Syrian Arab Rep.,,Asylum-seekers,0,0
South Sudan,Syrian Arab Rep.,,Total population of concern,0,0
South Sudan,Uganda,,Total Refugee and people in refugee-like situations,0,0
South Sudan,Uganda,,Asylum-seekers,0,0
South Sudan,Uganda,,Total population of concern,0,0
Spain,Afghanistan,,Total Refugee and people in refugee-like situations,273,0
Spain,Afghanistan,,Asylum-seekers,115,0
Spain,Afghanistan,,Total population of concern,388,0
Spain,Albania,,Total Refugee and people in refugee-like situations,0,0
Spain,Albania,,Asylum-seekers,25,0
Spain,Albania,,Total population of concern,27,0
Spain,Algeria,,Total Refugee and people in refugee-like situations,44,0
Spain,Algeria,,Asylum-seekers,400,0
Spain,Algeria,,Total population of concern,444,0
Spain,Angola,,Total Refugee and people in refugee-like situations,11,0
Spain,Angola,,Asylum-seekers,10,0
Spain,Angola,,Total population of concern,21,0
Spain,Argentina,,Asylum-seekers,10,0
Spain,Argentina,,Total population of concern,10,0
Spain,Armenia,,Total Refugee and people in refugee-like situations,20,0
Spain,Armenia,,Asylum-seekers,135,0
Spain,Armenia,,Total population of concern,155,0
Spain,Azerbaijan,,Total Refugee and people in refugee-like situations,29,0
Spain,Azerbaijan,,Asylum-seekers,30,0
Spain,Azerbaijan,,Total population of concern,59,0
Spain,Bangladesh,,Total Refugee and people in refugee-like situations,21,0
Spain,Bangladesh,,Asylum-seekers,125,0
Spain,Bangladesh,,Total population of concern,146,0
Spain,Belarus,,Total Refugee and people in refugee-like situations,14,0
Spain,Belarus,,Asylum-seekers,20,0
Spain,Belarus,,Total population of concern,34,0
Spain,Benin,,Total Refugee and people in refugee-like situations,0,0
Spain,Benin,,Asylum-seekers,10,0
Spain,Benin,,Total population of concern,13,0
Spain,Bhutan,,Total Refugee and people in refugee-like situations,0,0
Spain,Bhutan,,Total population of concern,0,0
Spain,Bolivia (Plurinational State of),,Total Refugee and people in refugee-like situations,9,0
Spain,Bolivia (Plurinational State of),,Asylum-seekers,5,0
Spain,Bolivia (Plurinational State of),,Total population of concern,14,0
Spain,Bosnia and Herzegovina,,Total Refugee and people in refugee-like situations,0,0
Spain,Bosnia and Herzegovina,,Total population of concern,0,0
Spain,Brazil,,Asylum-seekers,20,0
Spain,Brazil,,Total population of concern,20,0
Spain,Bulgaria,,Asylum-seekers,5,0
Spain,Bulgaria,,Total population of concern,5,0
Spain,Burkina Faso,,Total Refugee and people in refugee-like situations,0,0
Spain,Burkina Faso,,Asylum-seekers,20,0
Spain,Burkina Faso,,Total population of concern,22,0
Spain,Burundi,,Total Refugee and people in refugee-like situations,0,0
Spain,Burundi,,Total population of concern,0,0
Spain,Cameroon,,Total Refugee and people in refugee-like situations,47,0
Spain,Cameroon,,Asylum-seekers,205,0
Spain,Cameroon,,Total population of concern,252,0
Spain,Central African Rep.,,Total Refugee and people in refugee-like situations,31,0
Spain,Central African Rep.,,Asylum-seekers,130,0
Spain,Central African Rep.,,Total population of concern,161,0
Spain,Chad,,Asylum-seekers,10,0
Spain,Chad,,Total population of concern,10,0
Spain,Chile,,Asylum-seekers,5,0
Spain,Chile,,Total population of concern,5,0
Spain,China,,Total Refugee and people in refugee-like situations,20,0
Spain,China,,Asylum-seekers,390,0
Spain,China,,Total population of concern,410,0
Spain,Colombia,,Total Refugee and people in refugee-like situations,186,0
Spain,Colombia,,Asylum-seekers,0,0
Spain,Colombia,,Total population of concern,186,0
Spain,Comoros,,Asylum-seekers,755,0
Spain,Comoros,,Total population of concern,755,0
Spain,"Congo, Republic of",,Total Refugee and people in refugee-like situations,11,0
Spain,"Congo, Republic of",,Asylum-seekers,20,0
Spain,"Congo, Republic of",,Total population of concern,31,0
Spain,Costa Rica,,Asylum-seekers,5,0
Spain,Costa Rica,,Total population of concern,5,0
Spain,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,193,0
Spain,Côte d'Ivoire,,Asylum-seekers,205,0
Spain,Côte d'Ivoire,,Total population of concern,398,0
Spain,Cuba,,Total Refugee and people in refugee-like situations,901,0
Spain,Cuba,,Asylum-seekers,120,0
Spain,Cuba,,Total population of concern,1021,0
Spain,Dem. People's Rep. of Korea,,Total Refugee and people in refugee-like situations,0,0
